collaborator,collaboration
Akira Shiomoto,Guitar
Akira Sotoyama,Drums
Akira Sugimura,Trumpet
Akira Tana,Drums
Akira Tanabe,Saxophone
Akira Wada,Guitar
Akira Yamaguchi,Bass
Akis Kaklamanis,Bass
Akita Goldman,Bass
Akita Miyazawa,"Tenor Saxophone, Alto Saxophone, Flute, Piccolo Flute"
Akitoshi Igarashi,Alto Saxophone
Akiyoshi Adachi,Percussion
Akko (3),Vocals [Shoutout]
Akos Asiedu,Backing Vocals
Ákos Fekecs,Drums
Ákos György,"Piano, Synthesizer"
Akos Laki,Bass Clarinet
Ákos Stefi,Vocals
Akosh S,Saxophone
Akosh Szelevényi,"Bass Clarinet, Tenor Saxophone, Soprano Saxophone, Flute, Clarinet [Metal Clarinet], Bells, Mixed By, Mastered By"
Aksel Genius,Drums
Akum Ra Amen-Ra,Tenor Saxophone
Akwasiba Atigbi,Vocals
"Al ""Fats"" Edwards",Vocals
Al Aarons,Trumpet
Al Abreu,"Tenor Saxophone, Flute"
Al Allston,Drums
Al Anderson (2),Guitar
Al Anderson (4),Bass
Al Andreasen,Trombone
Al Andreason,Trombone
Al Anthony,Alto Saxophone
Al Armer,Double Bass [Uncredited]
Al Avola,Guitar
Al Banner,Saxophone
Al Barathy,Tenor Saxophone
Al Bartee,Drums
Al Baum,Alto Saxophone
Al Beck,Trumpet
Al Beldini,Drums
Al Belletto,Baritone Saxophone
Al Benson (3),Bass
Al Bent,Trombone
Al Berdini,Drums
Al Bernard,Bass
Al Berry,Bass
Al Block,Alto Saxophone
Al Bowlly,Vocals
Al Branscombe,Piano
Al Brown (9),Alto Saxophone
Al Bryant,Trumpet
Al Burke,Bass
Al Caiola,Guitar
Al Caldwell (2),Saxophone
Al Casamenti,Guitar
Al Casey,Guitar
Al Casey (2),Guitar
Al Cava,Vocals
Al Cavallin,Trumpet
Al Cecchi,Drums
Al Chalk,Percussion
Al Chernet,Guitar
Al Cobb,Trombone
Al Cobbs,Trombone
Al Cobine,"Liner Notes, Leader, Vocals, Tenor Saxophone, Arranged By"
Al Cohn,Tenor Saxophone
Al Cohn - Zoot Sims Quintet,Tenor Saxophone
"Al Cohn, Zoot Sims",Tenor Saxophone
Al Copley,Piano
Al Corvin,Trumpet
Al Coster,Drums
Al Costi,Guitar
Al Craig,Drums
Al Criado,Electric Bass
Al Cross,Drums
Al Dana,Vocals
Al Davis (2),Trumpet [Uncredited]
Al De Gooyer,"Trumpet, Flugelhorn"
Al De Risi,Trumpet
Al Deegan,"Bass, Banjo"
Al Del Governatore,Piano
Al Di Meola,Acoustic Guitar
Al Doctor (2),Alto Saxophone
Al Dreares,Drums
Al Drootin,Tenor Saxophone
Al Duncan,Drums
Al Eldridge,Piano [Uncredited]
Al Engelberg,Trombone
Al Epstein,Baritone Saxophone
Al Erick,Bass
Al Evans,Trumpet
Al Evans (4),Lead Vocals
Al Faaet,"Drums, Percussion"
Al Festa,Keyboards
Al Foreman,Double Bass [String Bass]
Al Forte,Trumpet
Al Foster,Drums
Al Freistat,Saxophone
Al Gafa,Guitar
Al Galante,Guitar
Al Gande,Trombone
Al Gay,Tenor Saxophone
Al George (2),Trombone
Al Gibbons,Tenor Saxophone
Al Gibson,Baritone Saxophone
Al Givens,Tenor Saxophone
Al Godlis,Trombone
Al Goering,Piano [Uncredited]
Al Gold,Tenor Saxophone
Al Gomez,"Trumpet, Flugelhorn"
Al Gorgoni,Guitar
Al Gorry,Bass
Al Grey,Trombone
Al Griffin,Drums
Al Grimes,Drums
Al Haig,Piano
Al Hall,Bass
Al Hall (2),Trombone
Al Hammel Rasul,Piano
Al Harewood,Drums
Al Harris,Guitar
AL Harris,Guitar
Al Harrison,Trumpet
Al Hayes,Trombone
Al Hendrickson,Guitar
Al Hibbler,Vocals
Al HIbbler,Vocals
Al Hicks,Drums
Al Hines,Bass
Al Hirt,Trumpet
Al Hood,Piano
Al Horesh,Guitar
Al Horish,Bass
Al Howard (5),Alto Saxophone
Al Hunt,Baritone Saxophone
Al Hurley,Bass
Al Jackson Jr.,Drums
Al Jarreau,Vocals
Al Jennings,Trombone
Al Jeter,Tenor Saxophone
Al Johnson,Electric Bass
Al Johnson (7),Drums
Al Jones,Drums
Al Jordan,Trombone
Al Kaplan,Trombone [Bass-Trombone]
Al Kay,Trombone
Al Keeler,Percussion [Latin]
Al Keith (2),Trumpet
Al Kendis,Drums
Al Kiger,Trumpet
Al Killian,Trumpet
Al King (4),Bass
Al King (5),Trombone
Al Kink,Saxophone [Tenor]
Al Klink,Saxophone
Al Korvin,Trumpet
Al Kunze,Double Bass [Uncredited]
Al Lasky,"Alto Saxophone, Flute"
Al Lenners,"Drums, Percussion"
Al Leopold,Trombone [Uncredited]
Al Lerner,Piano
Al Lerner (2),Piano [Uncredited]
Al Levitt,Drums
Al Lewis (2),"Banjo, Vocals"
Al Lirvat,Trombone
Al Lockett,"Tenor Saxophone [Selmer], Soprano Saxophone [Selmer], Flute [Armstrong], Vocals"
Al Lorraine,Trombone
Al Lucas,Bass
Al Mahafee,Bass
Al Maiorca,Trumpet
Al Marineau,Trombone [Uncredited]
Al Mastren,Trombone
Al Mattaliano,Trumpet
Al Mattes,Bass
Al Matthews (2),Bass
Al Matucci,Bass
Al Mauling,Alto Saxophone [Uncredited]
Al McDowell (2),Bass
Al McKay,Guitar
Al Mckibbon,Bass
Al McKibbon,Bass
Al McKinnon,Bass
Al McManus,Drums
Al McManus (3),Drums
Al McPake,Guitar
Al Mehaffey,Bass
Al Milton,Guitar
Al Molina,Trumpet
Al Moore,Trumpet [Uncredited]
Al Morgan,Bass
Al Morris (3),Guitar
Al Muller,Trumpet
Al Neil,Piano
Al Nevins,Guitar
Al Newman,Alto Saxophone
Al Nicholls,Tenor Saxophone
Al Nicholson,Drums
Al Nori,Trumpet
Al Norris,Guitar
Al O'Brien,Bass
Al Obidenski,Bass
Al Obidinski,Bass
Al Oliveri,Vocals [Modern Men]
Al Ortiz,Backing Vocals
Al Paterson,Trombone
Al Pearson,Trumpet
Al Pellegrini,Piano
Al Peña,"Tenor Saxophone, Flute, Clarinet"
Al Pepper,Percussion
Al Philburn,Trombone
Al Philcock,Drums
Al Plank,Piano
Al Pollack,Trumpet
Al Porcino,Trumpet
Al Portch,Guitar
Al Porth,"Saxophone, Woodwind"
Al Powers,Baritone Saxophone
Al Praefke,Drums
Al Puccin,Tenor Saxophone
Al Ramsey,Trumpet
Al Randall,Drums
Al Regni,Flute
Al Reuther,Saxophone
Al Richardson (3),Vocals
Al Rinker,Tenor Vocals [Uncredited]
Al Robertson,Trombone
Al Robertson (4),Trombone
Al Rogers,Drums
Al Rubin,Trumpet
Al Sanow,Trumpet
Al Schackman,Guitar
Al Sears,Tenor Saxophone
Al Sergel,Drums
Al Shackman,Guitar
Al Sharpe,Drums
Al Shayne,Vocals
Al Sherman (3),Bass
Al Sherman (4),Trombone
Al Sidell,Drums
Al Sigismondi,Saxophone
Al Simi,Bass
Al Skerritt,Alto Saxophone [Uncredited]
Al Smith (22),Trumpet
Al Spieldock,Drums
Al St. James,Drums
Al Stanland,Vocals [Refrain]
Al Stanwyck,Trumpet
Al Starr,Vocals
Al Steams,Trumpet
Al Stearns,Trumpet
Al Stevens,Piano
Al Stewart (3),Trumpet
Al Stricker,Vocals
Al Sunseri,Trumpet
Al Tanner,Piano
Al Taylor (4),Drums
Al Thomas,Trombone
Al Thomson,Saxophone
Al Thorn,Bass
Al Threats,Electric Bass
Al Tinney,Piano
Al Torrance,"Clarinet, Alto Saxophone"
Al Torre (2),Drums
Al Torres,Drums
Al Turbinton,Alto Saxophone
Al Turner,Bass
Al Vega,Piano
Al Viola,Guitar
Al Walcott,Piano
Al Walcott (2),"Alto Saxophone, Clarinet"
Al Walker (4),Piano
Al Waslohn,Piano
Al Waslon,Piano
Al Weisman,Backing Vocals
Al White (2),Trumpet
Al Wichard,Drums
Al Williams,Drums
Al Williams (3),"Flute [Alto], Bassoon"
Al Williams (4),Piano
Al Williams (6),"Percussion, Congas"
Al Wolovitch,Bass
Al Wynnette,Trumpet
Al Zink,Guitar
Al Zulaica,Electric Piano
Al. Rigeon,Tenor Saxophone
Aladár Oláh,Keyboards
Aladár Pege,Bass
Aladina Papini,Alto Vocals
Alaeddin Adlernest,Bassoon
Alain Aithnard,Voice
Alain Antoinette,Bass
Alain Antoni,Drums
Alain Bastien,Drums
Alain Bazard,Trumpet
Alain Bédard,Acoustic Bass
Alain Bellaïche,Electric Guitar
Alain Bellec,Soprano Saxophone
Alain Bergeron,"Flute, Saxophone, Keyboards"
Alain Bernard,Piano
Alain Bidot-Naude,Drums
Alain Blesing,"Acoustic Guitar, Electric Guitar, Lute [Cura]"
Alain Boies,Saxophone
Alain Bonnet,Drums
Alain Bouchaux,Drums
Alain Bouhey,Saxophone
Alain Bourgault,Saxophone [Tenor]
Alain Breton,Drums
Alain Bruhl,"Percussion, Tambora, Bongos"
Alain Brühl,Alto Saxophone
Alain Brunet (2),Trumpet
Alain Caron,Bass
Alain Chaléard,"Congas, Djembe, Bendir, Goblet Drum [Tablas], Percussion [Tabl], Composed By, Producer"
Alain Charlery,Percussion
Alain Chaudron,Drums
Alain Costagliola,Technician [Piano Tuning]
Alain Courbon,Bass
Alain Cupper,Saxophone [Baritone]
Alain Darblay,Trumpet
Alain De Bruyn,Tenor Saxophone
Alain Debiossat,Saxophone
Alain Della Maestra,"Guest, Trumpet"
Alain Delos,Percussion
Alain Dersy,Saxophone
Alain Dessauges,Double Bass
Alain Douchet,"Baritone Saxophone, Alto Saxophone"
Alain Du Bois,Bass
Alain Dumont,Drums
Alain Fougeret,Piano
Alain Gandolfi,"Drums, Vocals"
Alain Ganem,Electric Bass
Alain Gauthier,Electric Guitar
Alain Gibert,Trombone
Alain Gilbert,"Composed By, Trombone"
Alain Goutier,Bass
Alain Granat,Guitar
Alain Guazzelli,Percussion
Alain Guerrini,Alto Saxophone
Alain Guillard,Trombone
Alain Guiu,"Piano, Orgue Hammond"
Alain Hako,"Percussion, Tambora, Bongos"
Alain Hatot,Tenor Saxophone
Alain Jean-Marie,Piano
Alain Jeannet,"Vocals, Guitar"
Alain Joséphine,Saxophone
Alain Josué,"Drums, Percussion"
Alain Joule,Percussion
Alain Koetsier,Drums
Alain Labib,Saxophone [Alto]
Alain Labrosse,Percussion
Alain Lecointe,Bass
Alain Leconte,Bass
Alain Leonard,Electric Guitar
Alain Lévêque,Saxophone [Baryton]
Alain Mallet,Piano
Alain Marquet,"Clarinet, Tenor Saxophone"
Alain Massoneau,Technician [Piano]
Alain Massonneau,Technician [Piano Tuning]
Alain Mauviel,Saxophone [Baryton]
Alain Mayeras,Piano
Alain Melet,Electric Bass
Alain Meyer,Double Bass
Alain Mion,"Piano, Vocals"
Alain Muller (2),Piano
Alain Nau,Drums
Alain Ohier,Piano
Alain Osowski,Saxophone [Ténors]
Alain Pasquier,Trumpet
Alain Pérez,"Bass, Voice"
Alain Perreau,Trumpet
Alain Petitmermet,"Drums, Percussion"
Alain Pierre,Guitar [Classical Guitar]
Alain Pistre,Percussion
Alain Potier,Alto Saxophone
Alain Rahoerson,Percussion
Alain Rellay,Saxophone [Tenor]
Alain Soler,Guitar
Alain Tabar-Nouval,Saxophone
Alain Tissot,Drums
Alain Turrian,"Vocals, Bass"
Alain Vankenhove,Trumpet
Alain Venditti,Saxophone
Alain Villaneau,Saxophone [Alto]
Alain Villanneau,Alto Saxophone
Alain Wilsch,Guitar [Solo]
Alakuku Davis,Vocals
"Alan ""Gunga"" Purves",Percussion
Alan Abrahams (2),Voice
Alan Anton,Bass Guitar
Alan Barnes,Alto Saxophone
Alan Barnes (2),Alto Saxophone
Alan Bates (3),Drums
Alan Bergman,Drums
Alan Bern,Keyboards [Midi Keyboard]
Alan Beutler,Baritone Saxophone
Alan Bishop,"Guitar, Voice"
Alan Bjorklund,Trumpet
Alan Blake (5),Vocals
Alan Branscombe,Piano
Alan Braufman,Alto Saxophone
Alan Breeze,Lead Vocals
Alan Broadbent,Piano
Alan Bromley,Saxophone [Baritone]
Alan Brown (13),"Organ [Hammond C3], Piano [Wurlitzer], Melodica [Korg Trident], Producer, Mastered By"
Alan Burroughs,Guitar
Alan Burton,Alto Saxophone
Alan Byers,Tenor Vocals
Alan Campbell (2),Trumpet
Alan Chang,"Piano, Directed By [Music Director]"
Alan Chase,Saxophone
Alan Clare,Piano
Alan Conway,Vocals
Alan Cook (7),"Drums, Percussion"
Alan Cooper (2),Bass
Alan Copeland,"Leader, Voice"
Alan Davie,"Piano, Cello, Sopranino Saxophone, Bass Clarinet, Vibraphone, Xylophone, Effects [Ring Modulator], Artwork By [Cover Paintings], Liner Notes"
Alan Dawson,Drums
Alan Dorzile,Bass
Alan Downey (2),Trumpet
Alan Early,Tenor Saxophone
Alan Eason,Guitar [Guitars]
Alan Eder,Technician [Piano]
Alan Edwards (4),Guitar
Alan Edwards (6),Drums
Alan Elsdon,Trumpet
Alan Estes,Percussion
Alan Ett,"Alto Saxophone, Soprano Saxophone, Tenor Saxophone, Flute"
Alan Evans,Drums
Alan Farrington,Vocals
Alan Feldenkris,Saxophone
Alan Ferber,Trombone
Alan Ferguson,Guitar
Alan Fontaine,Guitar
Alan Franks,Trumpet
Alan Fredericksen,"Leader, Trombone"
Alan Gauvin,Saxophone
Alan Geddes,Drums
Alan Gibson,Trumpet
Alan Glass,Guitar
Alan Gonzalez,Trombone
Alan Gorrie,Bass
Alan Gowen,Keyboards
Alan Graham (2),"Percussion, Congas"
Alan Grant,Voice [MC]
Alan Greed,"Guest, Vocals"
Alan Green (5),Percussion
Alan Gresty,Trumpet
Alan Hacker,"Clarinet, Bass Clarinet"
Alan Hakin,Percussion
Alan Hall,Drums
Alan Hampton,Double Bass
Alan Hardiman,Trombone
Alan Henderson (9),Acoustic Bass
Alan Hertz,Drums
Alan Hetherington,Percussion
Alan Hewitt (2),Keyboards
Alan Hill,Guitar
Alan Hill (2),Trumpet
Alan Hinds,Guitar
Alan Hines,Bass
Alan Hodgkiss,Guitar
Alan Holmes (3),Saxophone
Alan Hood,Trumpet
Alan Howarth,Programmed By [Synthesizer Programming]
Alan Hutt,Trombone
Alan Jackson,Drums
Alan Jay Palmer,Piano
Alan Jeffreys,Trumpet
Alan Jeffries (2),Trumpet
Alan Johnson (3),Trombone
Alan Jones,Drums
Alan Jones (2),Drums
Alan Kaplan,Trombone
Alan Kennington,Bass
Alan Kershaw,Guitar
Alan King,Saxophone [Tenor]
Alan Kirschner,"Baritone Saxophone, Bass Clarinet, Flute"
Alan Knudson,Drums
Alan Laurillard,Alto Saxophone
Alan Lawson,Baritone Saxophone
Alan Lechusza,Bass Clarinet
Alan Lee (4),"Vibraphone, Guitar, Berimbau"
Alan Leggett,Trumpet
Alan Lerner,Drums
Alan Levitt,Drums
Alan Lewine,"Double Bass, Percussion"
Alan Licht,Guitar
Alan Lightner,Drums [Trap]
Alan Logan,Piano
Alan Mack,Bass
Alan Mcpike,Piano
Alan Merrill,Guitar
Alan Metcalfe,Guitar
Alan Meyerson,Engineer [Live Drums]
Alan Mian,Bass
Alan Miller,Trombone
Alan Mintz,Bass [Prelude No. 1]
Alan Molitz,Double Bass
Alan Morrissey,Trombone
Alan Murphy,Guitar
Alan Nahigian,Vocals
Alan Nash,Trumpet
Alan Neese,Trumpet
Alan Nemeth,Drums
Alan Niblock,Double Bass
Alan Oldfield,Piano
Alan Palanker,Synthesizer [Programming]
Alan Parker,Guitar
Alan Parr,Trumpet
Alan Pasqua,Piano
Alan Paul,Vocals
Alan Penfold (2),Trumpet
Alan Pepperhill,Trombone [Bass]
Alan Pithers,Keyboards
Alan Ralph,Trombone
Alan Raph,Trombone
Alan Rochlin,"Trumpet, Flugelhorn"
Alan Ross (6),Tenor Saxophone
Alan Rowe,Piano
Alan Rowe (3),Piano
Alan Rubin,Trumpet
Alan Rushton,Drums
Alan Russek,Drums
Alan Schwartz,Guitar
Alan Schwarzberg,Drums
Alan Sharpe,Guitar
Alan Shields,Bass
Alan Shinn,Percussion
Alan Shorter,Trumpet
Alan Shurr,"Tenor Saxophone, Clarinet"
Alan Shwaetz Benger,Drums
Alan Silva,Bass
Alan Silvestri,Guitar
Alan Simms (2),"Vocals, Featuring"
Alan Simon (2),Piano
Alan Skidmore,Tenor Saxophone
Alan Soares,"Piano, Celesta, Guitar, Percussion"
Alan Sokoloff,Vocals
Alan Solomon (2),"Alto Saxophone, Soprano Saxophone, Clarinet"
Alan Sommer,"Trumpet, Flugelhorn"
Alan Sparks,Guitar
Alan Spenner,Bass
Alan Stegeman,"Trumpet, Flugelhorn"
Alan Steinberger,Piano
Alan Sutherland (2),Guitar
Alan Tarpinian,Drums
Alan Taylor,Bass
Alan Thomas (6),Piano
Alan Tomlinson,Trombone
Alan Tosel,Bass Guitar
Alan Turnbull,Drums
Alan Vitouš,Drums
Alan Wakeman,"Tenor Saxophone, Soprano Saxophone"
Alan Waldow,Saxophone
Alan Wan,Alto Saxophone
Alan Watson,Piano
Alan Weekes,Guitar
Alan Weighall,Bass
Alan Weight,Trumpet
Alan Whale,"Bass Guitar, Double Bass [String Bass]"
Alan Wicket,Drums
Alan Wild (4),Acoustic Bass
Alan Wilkinson,"Alto Saxophone, Baritone Saxophone"
Alan Wise (2),Trumpet
Alan Wonneberger,Drums
Alan Wormald,Backing Vocals
Alan Yankee,Baritone Saxophone
Alaoua Idir,"Oud, Backing Vocals"
Alari Piispea,Bass
Alarza Lee Collins,Bass
Alastair Allen,Trombone
Alastair Fairweather,Trumpet
Alastair Gavin,Piano
Alastair Hume,Vocals
Alastair Kay,Trombone [Lead]
Alastair McGrath-Kerr,Drums
Alban Bailly,Acoustic Guitar
Alban Darche,Saxophone
Alban Sautour,Guitar
Albanis Castro,Trombone
"Albert ""June"" Gardiner",Drums
"Albert ""June"" Gardner",Drums
"Albert ""Sterling"" Menendez",Keyboards
Albert Alva,Alto Saxophone
Albert Ammons,Piano
Albert Ayler,Tenor Saxophone
Albert Bartee,Drums
Albert Beger,Tenor Saxophone
Albert Beltman,"Alto Saxophone, Clarinet, Coordinator"
Albert Boekholt,Synthesizer
Albert Burbank,"Clarinet, Vocals"
Albert Campbell (2),Vocals [Incidental Chorus]
Albert Casey,Guitar
Albert Cicerone,Alto Saxophone
Albert Cirera,Tenor Saxophone
Albert Crawford Jr.,Piano
Albert Dailey,Piano
Albert Daily,Piano
Albert Duncan,Trombone
Albert Epstein,Saxophone
Albert Fedoseev,Backing Vocals
Albert Ferreri,Tenor Saxophone
Albert French,"Banjo, Guitar"
Albert Godfrinne,"Tenor Saxophone, Clarinet"
Albert Golowin,Vocals
Albert Hall (2),Trumpet
Albert Harris,Guitar
Albert Heath,Drums
Albert Hera,Vocals
Albert Holliday,Drums
Albert Johnson (3),Vocals
Albert Johnson (6),Electric Bass
Albert Kaul,Piano
Albert King (2),Bass
Albert Kovitz,"Clarinet, Clarinet [Bass], Percussion, Voice"
Albert Kreuzer,Bass
Albert Kuvezin,Voice
Albert Lee,"Electric Guitar, Acoustic Guitar"
Albert Lehmann,Bass
Albert Leidner,Drums
Albert Mair,Piano
Albert Mangelsdorff,Trombone
Albert Mayer (2),Guitar
Albert McQueen,Tenor Saxophone
Albert Mertens,Trombone
Albert Monroe,Drums
Albert Moraleda,Acoustic Bass
Albert Nicholas,Alto Saxophone
Albert Nicholson,Drums
Albert Oehlen (2),Piano
Albert Passoa,Guitar
Albert Piamenta,Alto Saxophone
Albert Piguilhem,Trumpet
Albert Pike,Tenor Saxophone [Uncredited]
Albert Pradella,Saxophone
Albert Robertson,Bass Clarinet
Albert Sanz,Piano
Albert Sark,Piano
Albert Sarko,Piano
Albert Snaer,Trumpet
Albert Socarras,Alto Saxophone
Albert St. James,Drums
Albert Stinson,Bass
Albert Strong,Trumpet
Albert Tajti,Piano
Albert Tonnis,"Trumpet, Vocals"
Albert van Veenendaal,"Piano, Sampler"
Albert Van Veenendaal,Piano
Albert Vescovo,Guitar
Albert Von Seggern,Saxophones
Albert Walters,Trumpet
Albert Warner,Trombone
Albert Washington (2),"Clarinet, Tenor Saxophone"
Albert Wastiaux,Electric Guitar
Albert Wing,Tenor Saxophone
Albert Wollenhaupt,Trombone
Albert Wood,Trombone
Albert Wynn,Trombone
Alberta Hunter,Vocals
Albertine Robinson,Vocals
Albertino Corvini,"Trumpet, Soloist"
Alberto,Saxophone
Alberto A. Barbera,Piano
Alberto Alberto,Lead Vocals
Alberto Alibrandi,Piano
Alberto Amato,Bass
Alberto Amato (2),Bass
Alberto Arantes,"Guitar, Arranged By"
Alberto Balia,Guitar
Alberto Barattini,"Piano, Keyboards"
Alberto Barreto (2),Tenor Vocals [London College Of Music Chamber Choir]
Alberto Bengolea,Electric Guitar
Alberto Berettini,Voice
Alberto Bermúdez,Vocals
Alberto Bonacasa,Electric Piano
Alberto Bover,Piano
Alberto Braida,Piano
Alberto Buzzi,Tenor Saxophone
Alberto Cambas,Trumpet
Alberto Canonico,Drums
Alberto Capelli,Guitar
Alberto Carrasquillo,Trumpet
Alberto Chimelli,Piano
Alberto Collatina,Trombone
Alberto Collodel,Bass Clarinet
Alberto Continentino,Electric Bass
Alberto Corvini,Trumpet
Alberto Corvini Jr.,Drums
Alberto D'Anna,Drums
Alberto Danielli,Electric Guitar
Alberto Delgado,Flute
Alberto Ferrarese,Lead Vocals
Alberto Ferrarini,"Guitar, Soloist"
Alberto Fiori,Piano
Alberto Gonçalves,Baritone Saxophone
Alberto Gualandi,"Alto Saxophone, Tenor Saxophone"
Alberto Mandarini,Trumpet
Alberto Mandrini,Trumpet
Alberto Marchesini,Guitar
Alberto Mariani,Saxophone
Alberto Mazza,Contrabass [Los Cinco Caballeros]
Alberto Menendez,Tenor Saxophone
Alberto Milani,Bass
Alberto Nacci,Tenor Saxophone
Alberto Naranjo,Drums
Alberto Olivieri,Drums
Alberto Pasino,Drums
Alberto Pezzagno,Percussion
Alberto Pinton,"Baritone Saxophone, Bass Saxophone, Bass Clarinet, Flute, Piccolo Flute, Alto Flute, Flute [Bass]"
Alberto Pizzigoni,Electric Guitar
Alberto Ramos,Guitar
Alberto Roque,Baritone Saxophone
Alberto Salas,Keyboards
Alberto Socarras,Flute
Alberto Stivens,"Timbales, Percussion, Backing Vocals, Bongos"
Alberto Tacchini,Piano
Alberto Tafuri,Piano
Albey Balgochian,Double Bass
Albi Husen,"Drums, Electronics, Producer, Recorded By"
Albie Berk,Drums
Albie Urban,Drums
Albin Brun,"Soprano Saxophone, Tenor Saxophone, Accordion"
Albin Grahn,Trumpet
Albin Stohler,Drums
Albinus Borg,Trumpet
Albrecht  Göstemeyer,"Piano, Alto Saxophone, Baritone Saxophone, Soprano Saxophone"
Albrecht Maurer,"Violin, Synthesizer, Computer, Vocals"
Albrecht Riermeier,Percussion
Albrecht Schmücker,Trombone
Alby Cullaz,Bass
Alceu Valença,Voice
Alcide (Slow Drag) Pavageau,Bass
Alcyona Mick,Piano
Alda Dalle Lucche,Alto Saxophone
Aldemar Valentin,Bass
Alden Banta,"Bassoon, Contrabassoon"
Alden Griggs,"Trumpet, Flugelhorn"
Alden Ikeda,Drums
"Aldo ""Nene"" Nicolini",Bass
Aldo Bagnoni,"Drums, Percussion"
Aldo Banfi,Programmed By [Synthesizer]
Aldo Bassi,Trumpet
Aldo Caviglia,Drums
Aldo Del Rio,"Tres, Vocals"
Aldo Frank,Piano [Roland Digital Piano]
Aldo Galasso,Drums
Aldo Josue,Trombone
Aldo Mazza,Percussion
Aldo Mella,Double Bass
Aldo Meristo,Piano
Aldo Nicolicchia,Flute
Aldo Rindone,Piano
Aldo Romano,Drums
Aldo Sferra,Guitar
Aldo Sperti,Bass
Aldo Vigorito,Bass
Aldo Zanesco,"Clarinet, Alto Saxophone, Tenor Saxophone"
Aldo Zunino,Bass
Aldridge Hansberry,Flute
Alec Brown,Baritone Saxophone [Uncredited]
Alec Dankworth,Bass
Alec Derian,Bass
Alec Dorsey,Congas [Conga Drums]
Alec Fila,Trumpet
Alec Frith,"Guitar, Bass Drum, Shaker, Wood Block, Cabasa"
Alec Gould,Trombone
Alec Haavik,Saxophone
Alec Khaoli,Bass
Alec Milstein,Electric Bass
Alec Polascy,Trombone
Alec Siniavine,Piano
Alegre Correa,Guitar
Alegre Corrêa,Guitar
Alejandra Díaz,Vocals
Alejandra Martin,Vocals
Alejandro Blanco Uribe,Percussion
Alejandro Fernandez (2),Bass
Alejandro Garcia “Wassyli”,Bass
Alejandro Hernandez,Piano
Alejandro Lucini,Drums
Alejandro Panetta,Percussion
Alejandro Perez (2),Bass
Alejandro Pérez-Sáez,Bass
Alejandro Rivera,"Guitar, Vocals, Charango, Quena"
Alejandro Riviera,"Guitar, Charango, Flute [Siku], Quena, Vocals"
Alejandro Rojas,Piano
Alejandro Sancho,Guitar
Alejandro Santos,Flute
Alejo Poveda,Percussion
Alejo Proveda,Percussion
Alek Katz,Piano
Alek Kornecki,"Guest, Flute"
Aleke Kanonu,"Drums [Bass], Voice [Ibo Chanting]"
Alekos Orfanos,Keyboards
Aleksandar Bahun,"Piano, Keyboards"
Aleksandar Cvetković - Drama,Drums
Aleksandar Dobrijević,Electric Guitar
Aleksandar Dujin,Keyboards
Aleksandar Ignjatović,"Guest [Special Guest], Percussion"
Aleksandar Jaćimović,Saxophone
Aleksandar Jovanović -Šljuka,"Composed By, Piano, Keyboards"
Aleksandar Kravić,Bass
Aleksandar Lipovanov,Acoustic Bass
Aleksandar Marinković,Trombone
Aleksandar Milošević,Bass
Aleksandar Nikolovski,Trumpet
Aleksandar Petković,Saxophone
Aleksandar Petrov,Percussion
Aleksandar Radojičić,Drums
Aleksandar Sekulovski,Percussion
Aleksander Bem,"Drums [Uncredited], Vocals [Uncredited]"
Aleksander Gundersen,Trumpet
Aleksander Kamiński,"Alto Saxophone, Soprano Saxophone"
Aleksander Korecki,"Alto Saxophone,  Flute  And Vocal"
Aleksander Mazur,"Clarinet, Keyboards"
Aleksander Nowak,Drums
Aleksander Papierz,Alto Saxophone
Aleksander Skale,Drums
Aleksander Vilipere,Drums
Aleksander Żurowski,Piano
Aleksandra Nowak,Backing Vocals
Aleksandra Osiecka,Vocals
Aleksandras Fedotovas,"Soprano Saxophone, Alto Saxophone"
Aleksandrs Smirnovs,Piano
Aleksej Esin,Bass
Aleksi Ahoniemi,Tenor Saxophone
Aleksi Kinnunen (2),"Drums, Percussion"
Aleksi Ranta,Guitar
Aleksis Liukko,Electric Piano
Alena Heckerová,Lead Vocals
Alenka Pavliha,"Drums, Percussion"
Alenzo C. Shaw,Baritone Saxophone
Aleš Avbelj,Bass
Aleš Benda,Percussion
Aleš Charvát,"Bass Guitar, Bass"
Aleš Duša,Bass Guitar
Aleš Faix,"Leader, Piano, Synthesizer [Yamaha Dx7, Prophet 2000]"
Aleš Krebs,Electric Bass
Aleš Rendla,"Drums, Percussion"
Aleš Sládek,Drums
Aleš Suša,Saxophone
Alessandra Bon,Mezzo-soprano Vocals [Mezzosoprano (Coro Femminile Da Camera Látomás)]
Alessandra Doria,Keyboards [Additional]
Alessandra Giannetti,Piccolo Flute [E Flat Piccolo]
Alessandra Rombolá,"Flute [Conventional, Prepared]"
Alessandra Umiliani,Vocals
Alessandro Artino,Drums
Alessandro Azzolini,Trombone
Alessandro Baris,"Drums, Guitar [Guitars], Keyboards, Electronics"
Alessandro Benassi,"Alto Saxophone, Clarinet [Clarinets]"
Alessandro Betti,"Guitar, Live Electronics"
Alessandro Bianchi,Piano
Alessandro Bono,Guitar
Alessandro Boscolo,"Electric Guitar, Electronics"
Alessandro Bosetti,Soprano Saxophone
Alessandro Campioni,Voice
Alessandro Carabelli,"Piano, Liner Notes"
